Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price,Type
1,0,Abattoir Ghoul,Innistrad,85,Near Mint,English,,,,,,,,,Creature - Zombie
1,0,Abuna Acolyte,Scars of Mirrodin,1,Near Mint,English,,,,,,,,,Creature - Cat Cleric
1,0,Act of Treason,Core Set 2020,124,Near Mint,English,,,,,,,,0,Sorcery
3,0,Aerial Assault,Core Set 2020,1,Near Mint,English,,,,,,,,,Sorcery
1,0,Agonizing Remorse,Theros Beyond Death,83,Near Mint,English,,,,,,,,,Sorcery
1,0,Air Elemental,Core Set 2020,44,Near Mint,English,,,,,,,,,Creature - Elemental
2,0,"Alirios, Enraptured",Theros Beyond Death,42,Near Mint,English,,,,,,,,,Legendary Creature  - Human
1,0,All That Glitters,Throne of Eldraine,2,Near Mint,English,,,,,,,,,Enchantment - Aura
1,0,Alseid of Life's Bounty,Theros Beyond Death,1,Near Mint,English,,,,,,,,,Enchantment Creature  - Nymph
3,0,Altar of the Pantheon,Theros Beyond Death,231,Near Mint,English,,,,,,,,,Artifact
1,0,Ancestral Blade,Core Set 2020,3,Near Mint,English,,,,,,,,,Artifact - Equipment
2,0,Angel of Vitality,Core Set 2020,4,Near Mint,English,,,,,,,,,Creature - Angel
1,0,Angelic Gift,Core Set 2020,5,Near Mint,English,,,,,,,,,Enchantment - Aura
1,0,Angelic Skirmisher,Gatecrash,3,Near Mint,English,,,,,,,,,Creature - Angel
3,0,Anvilwrought Raptor,Core Set 2020,221,Near Mint,English,,,,,,,,,Artifact Creature - Bird
1,0,"Aphemia, the Cacophony",Theros Beyond Death,84,Near Mint,English,,,,,,,,,Legendary Enchantment Creature  - Harpy
1,0,Appetite for Brains,Ultimate Masters,83,Near Mint,English,,,,,,,,,Sorcery
1,0,Archon of Absolution,Throne of Eldraine,3,Near Mint,English,,,,,,,,,Creature - Archon
1,0,Archon of Falling Stars,Theros Beyond Death,2,Near Mint,English,,,,,,,,,Creature  - Archon
2,0,Ardenvale Paladin,Throne of Eldraine,4,Near Mint,English,,,,,,,,,Creature - Human Knight
2,0,Ardenvale Tactician // Dizzying Swoop,Throne of Eldraine,5,Near Mint,English,,,,,,,,,Creature - Human Knight // Instant - Adventure
1,0,Armillary Sphere,Commander 2019,209,Near Mint,English,,,,,,,,,Artifact
1,0,Aspect of Lamprey,Theros Beyond Death,85,Near Mint,English,,,,,,,,,Enchantment  - Aura
1,0,Assault Griffin,Gatecrash,4,Near Mint,English,,,,,,,,,Creature - Griffin
1,0,Bane Alley Broker,Gatecrash,145,Near Mint,English,,,,,,,,,Creature - Human Rogue
1,0,Banishing Light,Theros Beyond Death,4,Near Mint,English,,,,,,,,,Enchantment
1,0,Barge In,Throne of Eldraine,112,Near Mint,English,,,,,,,,,Instant
1,0,Barrow Witches,Throne of Eldraine,77,Near Mint,English,,,,,,,,,Creature - Human Warlock
1,0,Barter in Blood,Commander 2015,115,Near Mint,English,,,,,,,,,Sorcery
1,0,Battalion Foot Soldier,Core Set 2020,7,Near Mint,English,,,,,,,,,Creature - Human Soldier
1,0,Beacon of Unrest,Commander 2019,105,Near Mint,English,,,,,,,,,Sorcery
1,0,Befuddle,Core Set 2020,47,Near Mint,English,,,,,,,,,Instant
1,0,Beloved Princess,Throne of Eldraine,7,Near Mint,English,,,,,,,,,Creature - Human Noble
1,0,Bishop of Wings,Core Set 2020,8,Near Mint,English,,,,,,,,,Creature - Human Cleric
1,0,Blight-Breath Catoblepas,Theros Beyond Death,86,Near Mint,English,,,,,,,,,Creature  - Beast
1,0,Blind Obedience,Commander 2017,57,Near Mint,English,,,,,,,,,Enchantment
1,0,Bloodcrazed Paladin,Ixalan,93,Near Mint,English,,,,,,,,,Creature - Vampire Knight
2,0,Bloodhaze Wolverine,Throne of Eldraine,113,Near Mint,English,,,,,,,,,Creature - Wolverine
1,0,Blossoming Sands,Core Set 2020,243,Near Mint,English,,,,,,,,0,Land
1,0,Blow Your House Down,Throne of Eldraine,114,Near Mint,English,,,,,,,,,Sorcery
1,0,Bonds of Faith,Innistrad,5,Near Mint,English,,,,,,,,,Enchantment - Aura
1,0,Bone Splinters,Core Set 2020,92,Near Mint,English,,,,,,,,,Sorcery
1,0,Bone to Ash,Core Set 2020,48,Near Mint,English,,,,,,,,0,Instant
1,0,Boneclad Necromancer,Core Set 2020,93,Near Mint,English,,,,,,,,,Creature - Human Wizard
1,0,Boreal Elemental,Core Set 2020,49,Near Mint,English,,,,,,,,,Creature - Elemental
4,0,Brimstone Trebuchet,Throne of Eldraine,116,Near Mint,English,,,,,,,,,Artifact Creature - Wall
1,0,Brine Giant,Theros Beyond Death,44,Near Mint,English,,,,,,,,,Creature  - Giant
1,0,Brineborn Cutthroat,Core Set 2020,50,Near Mint,English,,,,,,,,,Creature - Merfolk Pirate
1,0,Bronze Sword,Theros Beyond Death,232,Near Mint,English,,,,,,,,,Artifact  - Equipment
1,0,Burning-Yard Trainer,Throne of Eldraine,117,Near Mint,English,,,,,,,,,Creature - Human Knight
1,0,Bushmeat Poacher,Ikoria: Lair of Behemoths,77,Near Mint,English,,,,,,,,,Creature - Human Soldier
2,0,Butcher Ghoul,Avacyn Restored,89,Near Mint,English,,,,,,,,,Creature - Zombie
1,0,Butcher's Cleaver,Innistrad,217,Near Mint,English,,,,,,,,,Artifact - Equipment
1,0,Captain of the Mists,Duel Decks: Blessed vs. Cursed,24,Near Mint,English,,,,,,,,0,Creature - Human Wizard
1,0,Captivating Unicorn,Theros Beyond Death,6,Near Mint,English,,,,,,,,,Creature  - Unicorn
1,0,Cathedral Sanctifier,Avacyn Restored,11,Near Mint,English,,,,,,,,,Creature - Human Cleric
1,0,Cauldron Familiar,Throne of Eldraine,81,Near Mint,English,,,,,,,,,Creature - Cat
1,0,Chain to Memory,Theros Beyond Death,46,Near Mint,English,,,,,,,,,Instant
1,0,Chainer's Torment,Dominaria,82,Near Mint,English,,,,,,,,,Enchantment - Saga
1,0,Champion of the Parish,Duel Decks: Blessed vs. Cursed,4,Near Mint,English,,,,,,,,0,Creature - Human Soldier
1,0,Chapel Geist,Innistrad,7,Near Mint,English,,,,,,,,,Creature - Spirit
1,0,Chastise,Eighth Edition,9,Near Mint,English,,,,,,,,0,Instant
1,0,Claim the Firstborn,Throne of Eldraine,118,Near Mint,English,,,,,,,,,Sorcery
1,0,Cling to Dust,Theros Beyond Death,87,Near Mint,English,,,,,,,,,Instant
1,0,Clockwork Servant,Throne of Eldraine,216,Near Mint,English,,,,,,,,,Artifact Creature - Gnome
1,0,Clone,Magic 2011,49,Near Mint,English,,,,,,,,0,Creature - Shapeshifter
1,0,Cloudkin Seer,Core Set 2020,54,Near Mint,English,,,,,,,,,Creature - Elemental Wizard
1,0,Cobbled Wings,Ixalan,233,Near Mint,English,,,,,,,,,Artifact - Equipment
1,0,Commanding Presence,Theros Beyond Death,7,Near Mint,English,,,,,,,,,Enchantment  - Aura
1,0,Compelling Deterrence,Shadows over Innistrad,52,Near Mint,English,,,,,,,,,Instant
1,0,Congregate,Magic 2014 Core Set,14,Near Mint,English,,,,,,,,0,Instant
1,0,Contentious Plan,War of the Spark,46,Near Mint,English,,,,,,,,,Sorcery
1,0,Corridor Monitor,Throne of Eldraine,41,Near Mint,English,,,,,,,,,Artifact Creature - Construct
1,0,Corrupted Conscience,Mirrodin Besieged,22,Near Mint,English,,,,,,,,,Enchantment - Aura
1,0,Crackling Perimeter,Gatecrash,88,Near Mint,English,,,,,,,,,Enchantment
1,0,Crashing Drawbridge,Throne of Eldraine,217,Near Mint,English,,,,,,,,,Artifact Creature - Wall
1,0,Dawn Evangel,Theros Beyond Death,8,Near Mint,English,,,,,,,,,Enchantment Creature  - Human Cleric
1,0,Dawn of Hope,Guilds of Ravnica,8,Near Mint,English,,,,,,,,,Enchantment
1,0,Dawning Angel,Core Set 2020,11,Near Mint,English,,,,,,,,,Creature - Angel
1,0,"Daxos, Blessed by the Sun",Theros Beyond Death,9,Near Mint,English,,,,,,,,,Legendary Enchantment Creature  - Demigod
1,0,Daybreak Chaplain,Core Set 2020,12,Near Mint,English,,,,,,,,,Creature - Human Cleric
1,0,Deafening Silence,Throne of Eldraine,10,Near Mint,English,,,,,,,,,Enchantment
1,0,Dearly Departed,Duel Decks: Blessed vs. Cursed,6,Near Mint,English,,,,,,,,0,Creature - Spirit
1,0,Deathless Knight,Throne of Eldraine,208,Near Mint,English,,,,,,,,,Creature - Skeleton Knight
1,0,Deny the Divine,Theros Beyond Death,47,Near Mint,English,,,,,,,,,Instant
1,0,Diamond Knight,Core Set 2020,224,Near Mint,English,,,,,,,,,Artifact Creature - Knight
1,0,Dimir Doppelganger,Guilds of Ravnica Guild Kit,12,Near Mint,English,,,,,,,,,Creature - Shapeshifter
2,0,Diregraf Captain,Duel Decks: Blessed vs. Cursed,68,Near Mint,English,,,,,,,,0,Creature - Zombie Soldier
1,0,Diregraf Ghoul,Core Set 2019,92,Near Mint,English,,,,,,,,,Creature - Zombie
1,0,Disciple of the Old Ways,Gatecrash,118,Near Mint,English,,,,,,,,,Creature - Human Warrior
2,0,Discordant Piper,Theros Beyond Death,88,Near Mint,English,,,,,,,,,Creature  - Zombie Satyr
2,0,Disenchant,Core Set 2020,14,Near Mint,English,,,,,,,,,Instant
